ticker,date,close,volume,tri,mktcap
9618 HK Equity,2022-06-29,251.4,10334958.0,257.621,794250.2401
9618 HK Equity,2022-06-30,252.8,8123711.0,259.056,798673.2725
9618 HK Equity,2022-07-04,262.0,7554189.0,268.483,818355.7395
9618 HK Equity,2022-07-05,260.2,5326877.0,266.639,822052.1578
9618 HK Equity,2022-07-06,250.0,9612924.0,256.186,789827.2078
9618 HK Equity,2022-07-07,247.2,10361205.0,253.317,780981.143
9618 HK Equity,2022-07-08,245.8,6619381.0,251.882,776558.1107
9618 HK Equity,2022-07-11,235.0,8864517.0,240.815,742437.5753
9618 HK Equity,2022-07-12,230.8,7914553.0,236.511,729168.4782
9618 HK Equity,2022-07-13,237.6,8372085.0,243.48,750651.7782
9618 HK Equity,2022-07-14,244.0,7912755.0,250.038,770871.3548
9618 HK Equity,2022-07-15,236.6,4382450.0,242.455,747492.4694
9618 HK Equity,2022-07-18,244.0,5564218.0,250.038,770871.3548
9618 HK Equity,2022-07-19,241.0,3749326.0,246.964,761393.4283
9618 HK Equity,2022-07-20,245.6,5978484.0,251.678,775926.2489
9618 HK Equity,2022-07-21,247.4,6174606.0,253.522,781613.0048
9618 HK Equity,2022-07-22,247.0,3599306.0,253.112,780349.2813
9618 HK Equity,2022-07-25,247.0,5227765.0,253.112,780349.2813
9618 HK Equity,2022-07-26,251.4,5691470.0,257.621,794250.2401
9618 HK Equity,2022-07-27,248.8,3886513.0,254.957,786036.0372
9618 HK Equity,2022-07-28,245.0,5020084.0,251.063,774030.6636
9618 HK Equity,2022-07-29,233.8,8708370.0,239.586,738646.4047
9618 HK Equity,2022-08-01,235.0,6173646.0,240.815,742437.5753
9618 HK Equity,2022-08-02,228.2,7900179.0,233.847,720954.2752
9618 HK Equity,2022-08-03,233.2,4766086.0,238.971,736750.8194
9618 HK Equity,2022-08-04,246.0,7483399.0,252.087,777189.9724
9618 HK Equity,2022-08-05,245.4,4348782.0,251.473,775294.3871
9618 HK Equity,2022-08-08,237.4,5624715.0,243.275,750019.9165
9618 HK Equity,2022-08-09,228.6,8418431.0,234.257,722217.9988
9618 HK Equity,2022-08-10,218.4,8819675.0,223.804,689993.0487
9618 HK Equity,2022-08-11,221.2,8806077.0,226.674,698839.1134
9618 HK Equity,2022-08-12,222.6,6259290.0,228.108,703262.1458
9618 HK Equity,2022-08-15,222.2,3563793.0,227.698,701998.4222
9618 HK Equity,2022-08-16,221.2,6430525.0,226.674,698839.1134
9618 HK Equity,2022-08-17,223.2,3825652.0,228.723,705157.7311
9618 HK Equity,2022-08-18,217.6,4897192.0,222.985,687465.6016
9618 HK Equity,2022-08-19,217.2,5197263.0,222.575,686201.8781
9618 HK Equity,2022-08-22,218.8,5988210.0,224.214,691256.7722
9618 HK Equity,2022-08-23,221.4,6578848.0,226.879,699470.9752
9618 HK Equity,2022-08-24,221.8,9589394.0,227.289,700734.6987
9618 HK Equity,2022-08-25,246.2,12625314.0,252.292,777821.8342
9618 HK Equity,2022-08-26,248.4,13437039.0,254.547,784772.3136
9618 HK Equity,2022-08-29,245.0,6976605.0,251.063,774030.6636
9618 HK Equity,2022-08-30,247.0,7255844.0,253.112,780349.2813
9618 HK Equity,2022-08-31,246.8,22826527.0,252.907,779717.4195
9618 HK Equity,2022-09-01,245.0,7847271.0,251.063,774030.6636
9618 HK Equity,2022-09-02,244.0,10017289.0,250.038,770871.3548
9618 HK Equity,2022-09-05,236.8,6528350.0,242.66,739643.6608
9618 HK Equity,2022-09-06,236.6,3376895.0,242.455,747492.4694
9618 HK Equity,2022-09-07,233.8,4674027.0,239.586,738646.4047
9618 HK Equity,2022-09-08,235.2,4580463.0,241.02,743069.4371
9618 HK Equity,2022-09-09,243.4,5241639.0,249.423,768975.7695
9618 HK Equity,2022-09-13,233.4,8356058.0,239.176,737382.6812
9618 HK Equity,2022-09-14,223.6,11552241.0,229.133,706421.4546
9618 HK Equity,2022-09-15,226.8,6684999.0,232.412,716531.2429
9618 HK Equity,2022-09-16,223.0,7143496.0,228.518,704525.8693
9618 HK Equity,2022-09-19,217.4,7185155.0,222.78,686833.7399
9618 HK Equity,2022-09-20,225.0,5211445.0,230.568,710844.487
9618 HK Equity,2022-09-21,218.4,4220924.0,223.804,689993.0487
9618 HK Equity,2022-09-22,212.2,4921083.0,217.451,670405.3339
9618 HK Equity,2022-09-23,205.0,4956019.0,210.073,647658.3104
9618 HK Equity,2022-09-26,210.0,5818134.0,215.197,663454.8545
9618 HK Equity,2022-09-27,213.0,5660066.0,218.271,672932.781
9618 HK Equity,2022-09-28,201.0,7959909.0,205.974,635021.075
9618 HK Equity,2022-09-29,202.0,7020937.0,206.999,638180.3839
9618 HK Equity,2022-09-30,198.6,8032149.0,203.514,627438.7338
9618 HK Equity,2022-10-03,193.4,5417556.0,198.186,611010.3279
9618 HK Equity,2022-10-05,213.0,11178543.0,218.271,672932.781
9618 HK Equity,2022-10-06,206.8,6473485.0,211.917,653345.0663
9618 HK Equity,2022-10-07,199.4,5421783.0,204.334,629966.1809
9618 HK Equity,2022-10-10,192.0,6155441.0,196.751,606587.2956
9618 HK Equity,2022-10-11,182.4,7741109.0,186.914,576257.9308
9618 HK Equity,2022-10-12,185.3,8402573.0,189.885,585419.9264
9618 HK Equity,2022-10-13,176.6,5833051.0,180.97,557933.9396
9618 HK Equity,2022-10-14,174.8,8004551.0,179.126,552247.1837
9618 HK Equity,2022-10-17,171.9,12607803.0,176.154,543085.188
9618 HK Equity,2022-10-18,178.3,8268857.0,182.712,563304.7646
9618 HK Equity,2022-10-19,168.4,6862764.0,172.567,532027.6071
9618 HK Equity,2022-10-20,162.0,13038474.0,166.009,511808.0306
9618 HK Equity,2022-10-21,163.3,9589796.0,167.341,515915.1321
9618 HK Equity,2022-10-24,141.8,26061411.0,145.309,447989.9922
9618 HK Equity,2022-10-25,148.9,21972579.0,152.585,470421.0849
9618 HK Equity,2022-10-26,148.4,15546158.0,152.072,468841.4305
9618 HK Equity,2022-10-27,157.1,15636132.0,160.988,496327.4174
9618 HK Equity,2022-10-28,146.6,13035586.0,150.228,463154.6746
9618 HK Equity,2022-10-31,145.1,11111441.0,148.691,458415.7114
9618 HK Equity,2022-11-01,157.3,14488939.0,161.192,496959.2791
9618 HK Equity,2022-11-02,161.6,12871001.0,165.599,510544.3071
9618 HK Equity,2022-11-03,152.5,7194784.0,156.274,481794.5967
9618 HK Equity,2022-11-04,171.6,21308781.0,175.846,542137.3954
9618 HK Equity,2022-11-07,177.0,15451858.0,181.38,559197.6631
9618 HK Equity,2022-11-08,178.2,11943165.0,182.61,562988.8337
9618 HK Equity,2022-11-09,172.1,8027205.0,176.359,543717.0498
9618 HK Equity,2022-11-10,165.8,6515680.0,169.903,523813.4042
9618 HK Equity,2022-11-11,192.5,15928679.0,197.264,608166.95
9618 HK Equity,2022-11-14,200.8,19555404.0,205.769,634389.2133
9618 HK Equity,2022-11-15,217.4,16113392.0,222.78,686833.7399
9618 HK Equity,2022-11-16,212.8,10439572.0,218.066,672300.9192
9618 HK Equity,2022-11-17,210.4,6965275.0,215.606,664718.578
9618 HK Equity,2022-11-18,218.0,10339323.0,223.395,688729.3252
9618 HK Equity,2022-11-21,206.6,10760880.0,211.712,652713.2045
9618 HK Equity,2022-11-22,197.6,9699390.0,202.49,624279.425
9618 HK Equity,2022-11-23,204.2,6953490.0,209.253,645130.8633
9618 HK Equity,2022-11-24,200.0,6823250.0,204.949,624699.0378
9618 HK Equity,2022-11-25,198.7,5239631.0,203.617,627754.6647
9618 HK Equity,2022-11-28,190.1,9196234.0,194.804,600584.6088
9618 HK Equity,2022-11-29,210.8,13452241.0,216.016,665982.3016
9618 HK Equity,2022-11-30,218.8,16743352.0,224.214,691256.7722
9618 HK Equity,2022-12-01,217.0,13440020.0,222.37,685570.0163
9618 HK Equity,2022-12-02,217.2,8552229.0,222.575,686201.8781
9618 HK Equity,2022-12-05,241.6,14883311.0,247.579,763289.0136
9618 HK Equity,2022-12-06,235.8,11395629.0,241.635,744965.0223
9618 HK Equity,2022-12-07,221.8,10434201.0,227.289,700734.6987
9618 HK Equity,2022-12-08,234.0,7073902.0,239.79,739278.2665
9618 HK Equity,2022-12-09,236.8,9416015.0,242.66,748124.3312
9618 HK Equity,2022-12-12,230.0,7397832.0,235.691,726641.0311
9618 HK Equity,2022-12-13,228.0,6973102.0,233.642,720322.4135
9618 HK Equity,2022-12-14,228.0,8426204.0,233.642,720322.4135
9618 HK Equity,2022-12-15,221.6,6679972.0,227.084,700102.8369
9618 HK Equity,2022-12-16,225.0,6740682.0,230.568,710844.487
9618 HK Equity,2022-12-19,224.2,5116697.0,229.748,708317.0399
9618 HK Equity,2022-12-20,220.4,5003277.0,225.854,696311.6664
9618 HK Equity,2022-12-21,219.0,4676429.0,224.419,691888.634
9618 HK Equity,2022-12-22,232.6,6246154.0,238.356,734855.2341
9618 HK Equity,2022-12-23,227.8,3868817.0,233.437,719690.5517
9618 HK Equity,2022-12-28,230.4,6402105.0,236.101,727904.7547
9618 HK Equity,2022-12-29,218.0,9216806.0,223.395,688729.3252
9618 HK Equity,2022-12-30,220.2,4082108.0,225.649,695679.8046
9618 HK Equity,2023-01-03,224.8,6894915.0,230.363,710212.6252
9618 HK Equity,2023-01-04,241.0,11835143.0,246.964,761393.4283
9618 HK Equity,2023-01-05,247.4,13064014.0,253.522,781613.0048
9618 HK Equity,2023-01-06,250.0,11143856.0,256.186,789827.2078
9618 HK Equity,2023-01-09,250.0,8859205.0,256.186,789827.2078
9618 HK Equity,2023-01-10,250.0,5864606.0,256.186,789827.2078
9618 HK Equity,2023-01-11,246.6,8159286.0,252.702,779085.5577
9618 HK Equity,2023-01-12,247.4,9990408.0,253.522,781613.0048
9618 HK Equity,2023-01-13,248.2,6449487.0,254.342,784140.4519
9618 HK Equity,2023-01-16,243.8,5128571.0,249.833,770239.493
9618 HK Equity,2023-01-17,239.6,8091792.0,245.529,756970.3959
9618 HK Equity,2023-01-18,235.4,10610610.0,241.225,743701.2988
9618 HK Equity,2023-01-19,231.8,6765457.0,237.536,732327.787
9618 HK Equity,2023-01-20,238.8,6492161.0,244.709,754442.9488
9618 HK Equity,2023-01-26,245.4,6191386.0,251.473,775294.3871
9618 HK Equity,2023-01-27,251.4,5555259.0,257.621,794250.2401
9618 HK Equity,2023-01-30,237.4,10769927.0,243.275,750019.9165
9618 HK Equity,2023-01-31,231.6,9233551.0,237.331,731695.9253
9618 HK Equity,2023-02-01,238.0,8013925.0,243.889,751915.5018
9618 HK Equity,2023-02-02,236.4,5792332.0,242.25,746860.6076
9618 HK Equity,2023-02-03,230.8,6676415.0,236.511,729168.4782
9618 HK Equity,2023-02-06,222.6,6718137.0,228.108,703262.1458
9618 HK Equity,2023-02-07,222.6,4720757.0,228.108,703262.1458
9618 HK Equity,2023-02-08,219.2,5734017.0,224.624,692520.4958
9618 HK Equity,2023-02-09,224.6,6530590.0,230.158,709580.7634
9618 HK Equity,2023-02-10,210.4,12439326.0,215.606,664718.578
9618 HK Equity,2023-02-13,207.4,16376266.0,212.532,655240.6515
9618 HK Equity,2023-02-14,203.6,9095805.0,208.638,643235.278
9618 HK Equity,2023-02-15,202.0,8234044.0,206.999,638180.3839
9618 HK Equity,2023-02-16,212.6,13546520.0,217.861,671669.0575
9618 HK Equity,2023-02-17,210.6,6859486.0,215.811,665350.4398
9618 HK Equity,2023-02-20,207.4,5989310.0,212.532,655240.6515
9618 HK Equity,2023-02-21,189.7,22613377.0,194.394,599320.8852
9618 HK Equity,2023-02-22,184.0,19767488.0,188.553,581312.8249
9618 HK Equity,2023-02-23,187.3,15161702.0,191.935,591738.544
9618 HK Equity,2023-02-24,178.4,12274957.0,182.815,563620.6955
9618 HK Equity,2023-02-27,178.0,10191538.0,182.405,562356.9719
9618 HK Equity,2023-02-28,173.7,15577215.0,177.998,548771.9439
9618 HK Equity,2023-03-01,183.3,10224998.0,187.836,579101.3087
9618 HK Equity,2023-03-02,179.1,9798016.0,183.532,565832.2116
9618 HK Equity,2023-03-03,184.7,9105981.0,189.271,583524.3411
9618 HK Equity,2023-03-06,187.3,9953007.0,191.935,591738.544
9618 HK Equity,2023-03-07,186.4,7839049.0,191.013,588895.1661
9618 HK Equity,2023-03-08,178.3,10066987.0,182.712,563304.7646
9618 HK Equity,2023-03-09,179.3,8259285.0,183.737,566464.0734
9618 HK Equity,2023-03-10,158.7,43661369.0,162.627,501382.3115
9618 HK Equity,2023-03-13,159.0,20493003.0,162.935,502330.1041
9618 HK Equity,2023-03-14,155.5,14841727.0,159.348,491272.5232
9618 HK Equity,2023-03-15,159.2,9224652.0,163.14,502961.9659
9618 HK Equity,2023-03-16,155.0,8984223.0,158.836,489692.8688
9618 HK Equity,2023-03-17,154.6,18824803.0,158.426,488429.1453
9618 HK Equity,2023-03-20,150.4,11644403.0,154.122,475160.0482
9618 HK Equity,2023-03-21,150.1,11079465.0,153.814,474212.2555
9618 HK Equity,2023-03-22,152.9,10701327.0,156.684,483058.3203
9618 HK Equity,2023-03-23,158.8,12582745.0,162.73,501698.2424
9618 HK Equity,2023-03-24,158.8,12333500.0,162.73,501698.2424
9618 HK Equity,2023-03-27,153.2,10765673.0,156.991,484006.1129
9618 HK Equity,2023-03-28,156.1,7329905.0,159.963,493168.1085
9618 HK Equity,2023-03-29,159.1,17110423.0,163.037,502646.035
9618 HK Equity,2023-03-30,163.2,14622088.0,167.238,515599.2012
9618 HK Equity,2023-03-31,172.0,24058257.0,176.256,543401.1189
9618 HK Equity,2023-04-03,169.7,9360923.0,173.899,536134.7086
9618 HK Equity,2023-04-04,164.0,8033703.0,170.552,518126.6483
9618 HK Equity,2023-04-06,159.0,12979395.0,165.352,502330.1041
9618 HK Equity,2023-04-11,158.6,9024853.0,164.936,501066.3806
9618 HK Equity,2023-04-12,153.0,10761564.0,159.112,483374.2511
9618 HK Equity,2023-04-13,149.9,13821516.0,155.889,473580.3938
9618 HK Equity,2023-04-14,147.7,11727208.0,153.601,466629.9143
9618 HK Equity,2023-04-17,149.4,11257419.0,155.369,472000.7394
9618 HK Equity,2023-04-18,148.5,8085116.0,154.433,469157.3614
9618 HK Equity,2023-04-19,144.2,10183194.0,149.961,455572.3334
9618 HK Equity,2023-04-20,142.9,12571216.0,148.609,445533.9714
9618 HK Equity,2023-04-21,139.7,11385223.0,145.281,439749.997
