strategy,ann_ret,ann_vol,sharpe,t,maxdd,worst,n,skew,kurt,period,family
"MOM long-only, beta-hedged",0.11549895688032547,0.23793789031103296,0.48541641152380127,1.048619297945799,-0.2905913389842134,-0.1519525812237719,56,0.05700797214136135,3.027475059904556,OOS,A
"MOM long-only, beta-hedged",0.1986092043409982,0.2527350177474899,0.7858396755270006,2.313449364509045,-0.367515851034955,-0.1519525812237719,104,0.28353074246816307,3.1800123635164845,FULL,A
CTH (px/12m high) L/S,0.0944006113416337,0.1720949404248591,0.5485379820498055,1.2265682161039244,-0.1542875030937848,-0.08806365002305233,60,0.6787340923648795,3.5191529607633023,IS,A
CTH (px/12m high) L/S,-0.0680363662525107,0.28997777093130994,-0.23462614404545917,-0.5068504002086375,-0.5792920936958406,-0.3340929744929295,56,-1.734113017249014,7.183328426333292,OOS,A
CTH (px/12m high) L/S,0.015982760089288135,0.2365671916003096,0.06756118623706577,0.21005626443647982,-0.5792920936958403,-0.3340929744929295,116,-1.5305953920905895,8.923553495257048,FULL,A
CTH long-only,0.2070059378807082,0.21393435434573188,0.9676142876341081,2.1636513231498995,-0.22416293524206732,-0.14211865676890378,60,0.08238020010107236,3.6006339396157614,IS,A
CTH long-only,0.10591484948962407,0.2033603488055378,0.5208235042461722,1.1251073602185224,-0.23564907580488959,-0.09882030235751821,56,0.4175728389060142,4.122403498096494,OOS,A
CTH long-only,0.15820334348501236,0.20850446429911662,0.7587527874609763,2.359058285412087,-0.3305063079811812,-0.14211865676890378,116,0.24058892715302457,3.7863032721388366,FULL,A
"VALUE composite (E/P,B/P,DY) sector-neutral L/S",-0.07427393652967498,0.12841216353049123,-0.5784026566302558,-1.2716091749374878,-0.4548414686608093,-0.09788063005419431,58,-0.01856216188683915,2.5236770509094835,IS,B
"VALUE composite (E/P,B/P,DY) sector-neutral L/S",0.014883007281032777,0.14628487063680265,0.10173989433250713,0.21978329128413138,-0.30576073232520684,-0.11227350272475288,56,-0.3396849399245333,3.329395835085427,OOS,B
"VALUE composite (E/P,B/P,DY) sector-neutral L/S",-0.030477543078801003,0.13747870084194339,-0.2216891990697559,-0.6832920015262901,-0.4548414686608093,-0.11227350272475288,114,-0.16962656088255615,2.998792240153405,FULL,B
"VALUE composite (E/P,B/P,DY) sector-neutral long-only",0.13746784108361967,0.1776685220704169,0.773732113498056,1.7010379243414342,-0.18027469746250158,-0.10737458073953046,58,-0.1385121704603389,2.734199036258614,IS,B
"VALUE composite (E/P,B/P,DY) sector-neutral long-only",0.14195233901576199,0.23244091006085876,0.6107029050032344,1.3192690570301235,-0.21926576109204465,-0.12465949681128104,56,0.9746845272428137,6.100708841599811,OOS,B
"VALUE composite (E/P,B/P,DY) sector-neutral long-only",0.13967075234853174,0.2054758857583884,0.6797427923623383,2.0951079938278157,-0.21926576109204465,-0.12465949681128104,114,0.6411271233954716,5.591846731061726,FULL,B
B/P only sector-neutral L/S,-0.012541656823569041,0.13291361067055973,-0.09435946221230004,-0.21099417182702554,-0.3524239935574254,-0.06959349624218926,60,0.15621140829081542,2.3424654548017707,IS,B
B/P only sector-neutral L/S,0.03727274662979037,0.1013378373534892,0.36780680941290106,0.7945535196379103,-0.22358735000805807,-0.06577395044346929,56,0.15374834015304348,2.9489475651929324,OOS,B
B/P only sector-neutral L/S,0.011506675878052748,0.11843545530012617,0.0971556688737658,0.30206925024733194,-0.3524239935574254,-0.06959349624218926,116,0.11081639422946366,2.646486106027619,FULL,B
B/P only sector-neutral long-only,0.17489678369456285,0.1954875578824727,0.8946696433729606,2.0005421399874344,-0.24143053574971418,-0.13220611471761817,60,-0.20999625989214435,2.980445087128129,IS,B
B/P only sector-neutral long-only,0.1426197589803101,0.22221389608149528,0.6418129626241078,1.3864744625479262,-0.21382853203289964,-0.11105106158536743,56,1.3599374625974228,7.183235653914884,OOS,B
B/P only sector-neutral long-only,0.15931477176354425,0.2079520909601385,0.7661128629578563,2.3819416900850037,-0.24143053574971418,-0.13220611471761817,116,0.692180600422591,5.543860776022705,FULL,B
DIVIDEND YIELD sector-neutral L/S,-0.09897427351392675,0.13141907064085837,-0.7531195665232129,-1.684026545931079,-0.48975256644968024,-0.07412819610233728,60,0.8656651041142435,3.7168971242299165,IS,B
DIVIDEND YIELD sector-neutral L/S,0.026541379096142126,0.1826165840469263,0.14533936901000125,0.3139689212746777,-0.2649644302539039,-0.1532176430762497,56,-1.1461231997493224,4.195821398097497,OOS,B
DIVIDEND YIELD sector-neutral L/S,-0.03838051018492796,0.1585587151319319,-0.2420586604337245,-0.7525909596494201,-0.4990533564119678,-0.1532176430762497,116,-0.47278091489254176,3.962970853462557,FULL,B
DIVIDEND YIELD sector-neutral long-only,0.11648436435591548,0.19408497329310914,0.6001719884825889,1.3420253644382898,-0.20830471103404746,-0.1200626824247154,60,0.004672577604996067,2.9974159618026066,IS,B
