ticker,period_end,revenue,net_income,eps,bvps,cfo,total_debt,roe,shares_out,announce_date,announce_date_est
1109 HK Equity,2022-06-30,72894.014,10602.873,1.49,30.9496,-829.726,218085.094,14.1595,7130.93958,2022-08-30,False
1109 HK Equity,2022-12-31,134167.105,17488.992,2.4526,33.1886,-2950.449,224218.913,12.326,7130.93958,2023-03-29,False
1109 HK Equity,2023-06-30,72971.477,13737.518,1.93,33.8635,30724.627,230714.134,13.5128,7130.93958,2023-08-30,False
1109 HK Equity,2023-12-31,178165.626,17627.854,2.472,36.1082,9762.833,239329.413,12.6946,7130.93958,2024-03-26,False
1109 HK Equity,2024-06-30,79191.662,10222.467,1.43,36.3394,-3598.519,251021.357,11.1265,7130.93958,2024-08-28,False
1109 HK Equity,2024-12-31,199713.83,15310.28,2.147,38.2446,32399.628,266632.657,9.6313,7130.93958,2025-03-26,False
1109 HK Equity,2025-06-30,94921.257,11879.974,1.67,38.7369,-22016.644,287677.464,10.1577,7130.93958,2025-08-27,False
1109 HK Equity,2025-12-31,186516.628,13537.56,1.8984,40.5955,52916.536,287595.128,9.0421,7130.93958,2026-03-30,False
1109 HK Equity,2026-06-30,67869.309,9841.696,1.38,43.359,,276995.717,8.2264,7130.93958,2026-08-31,False
1113 HK Equity,2016-06-30,27252.0,8606.0,2.23,69.0748,16694.0,57217.0,7.1867,3845.49805,2016-08-11,False
1113 HK Equity,2016-12-31,42048.0,10809.0,2.813,70.6587,21279.0,70176.0,7.2811,3823.99951,2017-03-22,False
1113 HK Equity,2017-06-30,28931.0,14975.0,3.97,74.5431,21923.0,85167.0,9.5276,3721.71338,2017-08-03,False
1113 HK Equity,2017-12-31,28615.0,15150.0,4.098,78.8511,26248.0,71992.0,10.7254,3697.4985,2018-03-16,False
1113 HK Equity,2018-06-30,16788.0,24753.0,6.69,84.4503,10039.0,61236.0,13.5753,3697.4985,2018-08-02,False
1113 HK Equity,2018-12-31,33580.0,15364.0,4.1582,87.5941,3404.0,69492.0,13.0447,3693.4005,2019-03-21,False
1113 HK Equity,2019-06-30,26836.0,15128.0,4.1,90.0828,10197.0,61163.0,9.4554,3693.4005,2019-08-01,False
1113 HK Equity,2019-12-31,55546.0,14006.0,3.7922,93.2076,31496.0,86718.0,8.7257,3693.4005,2020-03-19,False
1113 HK Equity,2020-06-30,29248.0,6626.0,1.72,92.7235,11344.0,83240.0,6.0328,3693.4005,2020-08-06,False
1113 HK Equity,2020-12-31,28375.0,10472.0,2.8353,96.0196,11765.0,84873.0,4.8168,3693.4005,2021-03-18,False
1113 HK Equity,2021-06-30,23262.0,8467.0,2.25,95.9689,-2758.0,99088.0,5.389,3646.73383,2021-08-05,False
1113 HK Equity,2021-12-31,37830.0,13014.0,3.5374,101.8854,27465.0,102567.0,5.8526,3643.58383,2022-03-17,False
1113 HK Equity,2022-06-30,35715.0,13077.0,3.55,103.2094,8123.0,51057.0,7.0522,3643.58383,2022-08-04,False
1113 HK Equity,2022-12-31,20626.0,8889.0,2.4205,105.3012,-1270.0,53813.0,5.7755,3605.19033,2023-03-16,False
1113 HK Equity,2023-06-30,24605.0,10473.0,2.88,106.725,-3634.0,54920.0,5.024,3592.67133,2023-08-03,False
1113 HK Equity,2023-12-31,22638.0,7153.0,1.9731,108.7226,5098.0,60424.0,4.5305,3548.88433,2024-03-21,False
1113 HK Equity,2024-06-30,22008.0,8744.0,2.44,110.2261,1471.0,61469.0,4.0529,3510.82833,2024-08-15,False
1113 HK Equity,2024-12-31,23521.0,5198.0,1.4442,110.7713,10567.0,57364.0,3.5311,3499.77833,2025-03-20,False
1113 HK Equity,2025-06-30,25386.0,6445.0,1.8,112.648,4297.0,59390.0,2.9072,3499.77833,2025-08-14,False
1113 HK Equity,2025-12-31,32549.0,4688.0,1.2987,113.2763,15507.0,56216.0,2.7667,3499.77833,2026-03-19,False
1113 HK Equity,2026-06-30,40306.0,8826.0,2.48,114.3061,16596.0,48519.0,3.3308,3499.77833,2026-08-13,False
1177 HK Equity,2016-06-30,6768.203,875.596,0.0525,0.5019,1440.863,1729.358,22.0996,16677.43286,2016-08-26,False
1177 HK Equity,2016-12-31,6775.176,761.782,0.0457,0.474,1730.455,3048.441,22.7455,16677.43286,2017-03-13,False
1177 HK Equity,2017-06-30,7482.859,1100.582,0.066,0.5183,3218.565,2631.35,21.8922,16677.43286,2017-08-21,False
1177 HK Equity,2017-12-31,7336.443,1070.369,0.0642,0.5522,1450.21,2951.204,25.3708,16677.43247,2018-03-23,False
1177 HK Equity,2018-06-30,9725.232,1365.669,0.074,1.0705,2058.541,3293.301,16.8364,18956.6865,2018-08-22,False
1177 HK Equity,2018-12-31,11163.352,7680.678,0.4121,1.5448,3423.893,3412.641,47.0899,18956.6865,2019-03-31,False
1177 HK Equity,2019-06-30,12527.309,1444.349,0.0765,1.5848,3507.412,3267.153,36.3417,18882.45673,2019-08-28,False
1177 HK Equity,2019-12-31,11706.721,1317.193,0.0467,0.7917,2023.027,8615.9,12.5064,18882.45673,2020-03-30,False
1177 HK Equity,2020-06-30,12647.775,1240.612,0.0657,1.6698,1555.549,14765.116,8.3264,18872.62723,2020-08-28,False
1177 HK Equity,2020-12-31,10999.449,1558.007,0.0829,0.8879,4061.866,14649.012,17.6589,18861.49923,2021-03-23,False
1177 HK Equity,2021-06-30,14353.781,8480.34,0.4515,1.303,2335.554,14104.583,35.794,18861.49923,2021-08-31,False
1177 HK Equity,2021-12-31,12507.575,6128.072,0.3267,1.6078,7318.549,12270.31,62.1129,18839.59423,2022-02-10,False
1177 HK Equity,2022-06-30,15193.738,1921.037,0.103,1.6058,3948.941,12101.509,29.3818,18815.19423,2022-08-23,False
1177 HK Equity,2022-12-31,10832.426,622.533,0.0335,1.5811,3370.73,10535.706,8.4732,18813.86723,2023-03-31,False
1177 HK Equity,2023-06-30,14283.672,1258.784,0.0678,1.5944,2671.118,11554.08,6.2499,18809.21723,2023-08-25,False
1177 HK Equity,2023-12-31,10922.372,1073.155,0.058,1.6209,3942.07,12580.244,7.7445,18801.21723,2024-03-28,False
1177 HK Equity,2024-06-30,15874.403,3017.162,0.1639,1.7479,3078.49,9676.561,13.0194,18791.21723,2024-08-13,False
1177 HK Equity,2024-12-31,12991.756,482.672,0.0266,1.7008,5275.815,9694.303,11.2111,18791.21723,2025-03-20,False
1177 HK Equity,2025-06-30,17574.778,3388.591,0.1882,1.7789,4664.108,11955.911,11.6924,18760.71723,2025-08-18,False
1177 HK Equity,2025-12-31,14259.71,-1045.243,-0.0581,1.6348,6728.104,16070.011,7.4829,18760.71723,2026-03-26,False
1177 HK Equity,2026-06-30,18469.007,3434.598,0.191,1.7411,,17171.441,7.2469,18705.01723,2026-08-19,False
12 HK Equity,2016-06-30,9725.0,8611.0,1.7806,52.5934,3566.0,54635.0,8.03,4841.38707,2016-08-23,False
12 HK Equity,2016-12-31,15843.0,13305.0,2.7485,54.4396,4962.0,56400.0,8.5147,4841.38707,2017-03-21,False
12 HK Equity,2017-06-30,12881.0,13073.0,2.4545,56.9085,6208.0,78204.0,9.9513,4841.38695,2017-08-22,False
12 HK Equity,2017-12-31,15079.0,17736.0,3.3306,60.4341,-4165.0,78550.0,11.0802,4841.387,2018-03-21,False
12 HK Equity,2018-06-30,13142.0,15030.0,3.1091,62.4375,-16119.0,84323.0,11.3416,4841.387,2018-08-23,False
12 HK Equity,2018-12-31,8840.0,16127.0,3.3313,64.6863,22409.0,85530.0,10.2875,4841.387,2019-03-20,False
12 HK Equity,2019-06-30,8129.0,7515.0,1.55,64.9991,4829.0,89893.0,7.6639,4841.387,2019-08-21,False
12 HK Equity,2019-12-31,16055.0,9479.0,1.9581,66.2778,4019.0,92126.0,5.3608,4841.387,2020-03-23,False
12 HK Equity,2020-06-30,10943.0,2834.0,0.59,65.1898,-1409.0,99958.0,3.9071,4841.387,2020-08-20,False
12 HK Equity,2020-12-31,14077.0,7358.0,1.5199,67.6734,10765.0,88192.0,3.1435,4841.387,2021-03-23,False
12 HK Equity,2021-06-30,8792.0,6549.0,1.35,67.8774,434.0,77468.0,4.3174,4841.387,2021-08-23,False
12 HK Equity,2021-12-31,14735.0,6646.0,1.3729,69.2047,2817.0,100280.0,3.9826,4841.387,2022-03-22,False
12 HK Equity,2022-06-30,9506.0,4781.0,0.99,68.133,5823.0,96548.0,3.4707,4841.387,2022-08-23,False
